N,P,K,temperature,humidity,ph,rainfall,label
85,40,41,22.26242897,83.31898,7.16283128,257.4414997,rice
75,55,45,21.40865769,80.52278752,5.945981124,227.3604758,rice
73,40,39,21.10953308,81.53654344,6.24921907,296.7534836,rice
79,42,44,20.88549067,80.43753879,7.592867997,217.3282819,rice
78,43,42,23.86086498,80.86722809,6.046340479,211.0523178,rice
83,43,44,2.27363861,83.3705831,6.949996758,225.8507388,rice
74,39,38,23.33989695,81.78818296,6.804984837,227.5665977,rice
62,42,36,22.79955451,83.06086093,5.770447122,216.2668461,rice
68,49,41,22.68977965,80.24192831,6.06264898,215.4953379,rice
100,46,40,25.66750894,84.59498662,6.32969658,260.9045016,rice
79,48,38,22.97153422,82.35437825,7.059975802,241.6059269,rice
89,50,40,23.93365006,80.04820032,6.14728052,213.8155994,rice
60,38,43,23.97898217,84.21009,6.685346423,272.1709408,rice
77,37,41,22.5694586,80.91741948,6.853445437,237.8432613,rice
84,45,40,23.12419195,82.67753529,7.33855186,200.2117938,rice
74,40,37,22.08093116,82.62044826,6.32969658,255.3948832,rice
86,35,40,21.85289122,80.7517758,7.232005758,206.2615903,rice
69,55,38,22.56784244,82.62044826,5.70080568,241.3204488,rice
72,38,38,23.52174974,83.76267785,5.948421268,213.5073318,rice
68,40,43,24.28607912,84.09625655,5.945981124,272.9573406,rice
91,42,45,24.09498959,81.05866052,7.003792571,223.0768523,rice
90,36,39,20.10789849,81.23817107,7.13396685,269.6621927,rice
65,56,36,25.13345571,82.02028,6.35124218,237.0804497,rice
96,38,36,23.99785,80.79867,5.57934,284.8143491,rice
62,46,43,20.14895791,82.78920593,7.215128597,207.8052423,rice
59,55,39,25.44879955,82.89894,5.82432,259.5645182,rice
95,42,45,21.67686994,83.56498,7.16283128,271.0418624,rice
73,52,42,22.23568977,81.26459,5.3829,213.5073318,rice
60,50,36,24.72894561,82.08423,6.62348,226.0285477,rice
86,42,41,22.82345169,80.37340437,5.70080568,210.2855638,rice
71,47,39,24.66459,81.37469,6.949996758,236.9424573,rice
82,45,40,20.95694836,82.01389024,6.604987233,228.7452463,rice
88,50,42,23.86086498,83.8654589,6.806417765,241.6059269,rice
84,39,43,25.13345571,82.82354,6.385974625,238.8942137,rice
90,40,38,22.26242897,81.53654344,7.285364968,257.4414997,rice
73,46,45,23.86086498,82.82354,6.685346423,250.0832336,rice
79,42,41,22.12094,80.71987,7.592867997,244.3571208,rice
68,40,37,23.93365006,82.35437825,6.44327,203.7614158,rice
82,47,42,21.45783,83.38659,6.94852,222.0834615,rice
87,46,39,23.52174974,82.13545,7.38456,210.1767928,rice
76,44,40,24.87195923,81.34567,6.276439753,265.7824973,rice
80,50,38,21.96456,82.56789,6.685346423,248.9573406,rice
91,42,41,23.05804872,83.14523,5.70080568,257.8462519,rice
75,39,42,22.56784244,82.82354,7.16283128,271.3248604,rice
83,45,43,20.87974371,80.64237,6.502985292,247.5645182,rice
69,53,44,24.51588066,81.85498023,5.386167788,239.6124878,rice
87,48,40,22.97153422,83.46557906,6.32969658,216.2668461,rice
72,44,39,25.15012277,82.05687437,7.003792571,270.1542793,rice
64,55,36,22.03849208,80.37340437,6.24921907,262.9478306,rice
88,52,41,23.00445915,83.31898,6.574153118,255.4020523,rice
75,40,38,23.86086498,82.67753529,6.685346423,236.9424573,rice
81,57,43,24.09498959,81.93380388,5.948421268,271.0418624,rice
77,42,40,21.40865769,82.62044826,7.628472891,243.6845291,rice
86,50,44,22.70883798,80.04820032,6.336253525,258.7254618,rice
68,48,42,20.13017482,83.37011772,7.073453504,211.0523178,rice
79,38,38,23.33989695,80.52278752,5.62467638,230.4462359,rice
84,46,41,22.40988,83.06086093,5.81330917,244.3571208,rice
92,55,39,24.01735908,80.82519675,6.949996758,282.5124839,rice
73,42,43,21.58710359,82.63941394,6.685346423,203.7614158,rice
89,40,36,25.66637832,84.79352019,6.068295816,196.8428695,rice
67,49,45,23.22397386,81.45061596,6.417234949,217.3282819,rice
81,53,37,22.91818859,82.7883872,7.33855186,200.2117938,rice
94,44,40,22.68977965,84.21009,6.685346423,224.0500372,rice
70,37,42,24.20495468,81.60487287,5.945981124,247.5645182,rice
86,55,38,22.22797,80.66886498,6.239277607,206.2380297,rice
76,42,44,23.79225503,80.41817687,6.574153118,237.8432613,rice
88,48,39,21.50378789,83.53521629,7.232005758,213.5073318,rice
72,40,41,22.05510432,82.89408619,6.776855,209.5869708,rice
84,57,43,24.28607912,83.88419782,7.50283396,231.2694498,rice
91,42,40,22.79955451,80.48909792,6.06264898,255.3948832,rice
101,50,38,21.85289122,83.61013758,6.685346423,283.5689498,rice
maize,79,42,20.79,82.0,6.50,202.94,maize
21,60,20,23.86,60.64,6.24,41.06,maize
19,55,20,22.16,58.07,5.59,44.66,maize
29,58,22,23.31,62.78,7.20,42.51,maize
23,65,18,24.49,65.22,6.82,52.32,maize
25,58,24,23.24,68.04,5.94,40.18,maize
27,52,18,22.68,52.47,7.01,49.56,maize
21,68,22,21.95,55.76,5.72,48.16,maize
23,55,24,24.02,67.23,5.58,35.48,maize
25,62,18,20.69,61.39,6.34,58.92,maize
21,57,20,22.48,58.89,6.78,43.26,maize
25,60,22,23.78,63.45,6.12,50.79,maize
19,53,19,21.34,56.12,7.36,46.83,maize
23,66,21,24.91,64.78,5.48,39.24,maize
27,59,23,22.87,59.34,6.95,51.47,maize
20,64,18,23.15,66.91,5.82,44.58,maize
22,56,20,21.72,57.56,7.14,47.92,maize
26,61,22,24.38,62.13,6.47,38.76,maize
18,58,24,22.94,60.87,5.63,53.21,maize
24,54,19,23.67,55.43,6.89,41.35,maize
21,63,21,20.81,68.29,7.42,45.67,maize
25,57,23,24.16,61.56,5.95,49.83,maize
19,65,18,22.53,64.12,6.28,42.19,maize
23,52,20,23.89,57.89,7.08,50.42,maize
27,60,22,21.47,63.67,5.74,37.98,maize
20,59,24,24.72,59.23,6.51,54.16,maize
22,55,19,22.18,65.78,6.87,43.75,maize
26,67,21,23.45,58.34,5.42,48.29,maize
18,62,23,21.93,62.56,7.25,40.63,maize
24,56,18,24.61,60.12,6.14,52.87,maize
21,58,20,22.37,66.45,5.68,46.14,maize
25,64,22,23.84,57.23,6.92,39.48,maize
19,53,24,20.96,63.89,7.38,53.72,maize
23,61,19,24.28,61.67,5.56,41.86,maize
27,57,21,22.75,58.56,6.45,50.13,maize
20,66,23,23.12,64.34,5.79,44.27,maize
22,59,18,21.58,56.78,7.18,47.61,maize
26,55,20,24.46,62.45,6.53,38.45,maize
18,63,22,22.83,60.23,5.87,54.73,maize
24,58,24,23.57,55.89,6.96,42.38,maize
21,52,19,20.74,67.56,7.44,45.82,maize
25,60,21,24.19,59.12,5.92,49.16,maize
19,67,23,22.46,63.78,6.25,43.94,maize
23,54,18,23.93,58.45,7.12,51.28,maize
27,61,20,21.39,62.23,5.71,37.62,maize
20,56,22,24.85,60.89,6.48,55.36,maize
22,65,24,22.12,66.56,6.84,44.72,maize
26,59,19,23.48,57.34,5.39,48.96,maize
18,63,21,21.86,63.12,7.22,41.29,maize
24,57,23,24.54,61.78,6.15,53.43,maize
25,65,20,22.58,59.36,6.75,46.12,maize
20,57,22,23.45,62.89,5.93,41.85,maize
23,60,18,24.12,64.53,6.34,49.37,maize
19,63,24,21.87,56.78,7.15,43.92,maize
27,54,20,22.96,60.45,5.68,52.46,maize
22,66,19,23.78,63.12,6.87,38.74,maize
26,58,21,20.69,57.89,7.35,47.28,maize
18,62,23,24.34,65.67,5.47,44.83,maize
24,55,18,22.51,61.23,6.72,50.17,maize
21,61,20,23.67,58.56,5.84,39.51,maize
25,59,22,21.28,64.34,7.28,53.85,maize
20,64,24,24.93,60.78,6.19,42.39,maize
23,56,19,22.38,57.45,6.63,48.73,maize
27,68,21,23.15,63.89,5.52,37.27,maize
19,53,23,21.74,59.67,7.06,55.81,maize
22,60,18,24.47,62.34,6.41,44.15,maize
26,57,20,22.83,56.12,5.95,49.69,maize
18,65,22,23.59,65.78,7.19,41.23,maize
24,62,24,20.96,61.45,6.56,53.57,maize
21,54,19,24.21,58.23,5.73,46.91,maize
25,61,21,22.67,63.56,6.89,39.25,maize
20,58,23,23.34,60.12,7.32,52.79,maize
23,66,18,21.51,57.78,5.46,43.33,maize
27,55,20,24.78,64.45,6.17,37.87,maize
19,63,22,22.14,62.23,6.85,55.41,maize
22,59,24,23.91,59.89,5.62,44.95,maize
26,52,19,21.37,56.56,7.38,48.49,maize
18,67,21,24.64,63.34,6.24,42.03,maize
24,56,23,22.79,60.67,5.79,50.57,maize
21,60,18,23.46,58.12,6.96,39.11,maize
25,58,20,20.63,65.89,7.42,53.65,maize
20,64,22,24.98,62.56,5.53,41.19,maize
23,55,24,22.25,57.23,6.67,48.73,maize
27,62,19,23.72,64.78,5.88,37.27,maize
19,59,21,21.48,61.34,7.14,55.81,maize
22,53,23,24.35,59.89,6.36,44.35,maize
26,66,18,22.82,56.45,5.95,49.89,maize
18,57,20,23.59,63.67,7.22,41.43,maize
24,61,22,20.76,60.23,6.58,53.97,maize
21,58,24,24.13,58.78,5.75,47.51,maize
25,64,19,22.59,63.45,6.91,40.05,maize
20,55,21,23.26,57.12,7.34,52.59,maize
23,63,23,21.43,64.89,5.48,44.13,maize
27,60,18,24.7,61.56,6.19,38.67,maize
19,56,20,22.16,58.23,6.83,56.21,maize
22,62,22,23.83,62.67,5.64,45.75,maize
26,59,24,21.29,56.34,7.37,49.29,maize
18,55,19,24.56,63.12,6.26,42.83,maize
24,67,21,22.73,60.78,5.81,51.37,maize
21,54,23,23.4,58.45,6.98,39.91,maize
6,12,30,26.08,88.67,6.64,112.63,jute
10,18,28,25.34,85.23,6.42,148.92,jute
8,14,32,27.15,90.12,6.85,128.45,jute
12,20,26,24.89,86.78,7.12,155.34,jute
7,16,29,26.54,89.45,6.38,119.87,jute
9,13,31,25.78,87.34,6.73,142.56,jute
11,19,27,27.43,91.23,6.96,136.78,jute
6,15,33,24.62,84.89,7.28,160.23,jute
8,17,28,26.87,88.56,6.54,125.34,jute
10,12,30,25.19,86.12,6.81,149.87,jute
12,21,26,27.68,90.78,7.15,133.45,jute
7,14,32,24.45,85.45,6.35,157.92,jute
9,18,29,26.32,89.23,6.68,121.56,jute
11,16,31,25.96,87.89,7.02,145.23,jute
6,20,27,27.21,91.56,6.49,138.67,jute
8,13,33,24.78,84.34,6.92,162.34,jute
10,19,28,26.65,88.12,7.25,127.89,jute
12,15,30,25.42,86.67,6.58,151.45,jute
7,17,26,27.89,90.45,6.84,135.12,jute
9,12,32,24.15,85.78,7.18,159.78,jute
11,21,29,26.48,89.67,6.41,123.34,jute
6,14,31,25.82,87.12,6.76,143.92,jute
8,18,27,27.35,91.89,7.08,137.56,jute
10,16,33,24.68,84.56,6.52,163.23,jute
12,20,28,26.95,88.34,6.88,129.89,jute
7,13,30,25.28,86.45,7.22,153.45,jute
9,19,26,27.62,90.23,6.45,131.12,jute
11,15,32,24.35,85.12,6.79,158.67,jute
6,17,29,26.18,89.78,7.12,120.34,jute
8,21,31,25.92,87.56,6.55,147.92,jute
10,14,27,27.45,91.45,6.98,139.56,jute
12,12,33,24.82,84.23,6.32,165.23,jute
7,18,28,26.75,88.89,6.72,126.89,jute
9,16,30,25.48,86.34,7.05,150.45,jute
11,20,26,27.12,90.56,6.48,134.12,jute
6,13,32,24.55,85.67,6.82,161.78,jute
8,19,29,26.42,89.12,7.18,122.34,jute
10,15,31,25.68,87.78,6.62,146.92,jute
12,17,27,27.95,91.67,6.95,140.56,jute
7,21,33,24.28,84.45,6.38,164.23,jute
9,14,28,26.85,88.56,6.75,128.89,jute
11,12,30,25.12,86.12,7.08,152.45,jute
6,18,26,27.58,90.89,6.52,132.12,jute
8,16,32,24.92,85.34,6.85,159.78,jute
10,20,29,26.25,89.45,7.22,121.34,jute
12,13,31,25.58,87.23,6.55,144.92,jute
7,19,27,27.82,91.12,6.92,137.56,jute
9,15,33,24.45,84.78,6.35,162.23,jute
11,17,28,26.68,88.67,6.78,130.89,jute
6,21,30,25.32,86.56,7.15,154.45,jute
8,14,26,27.15,90.34,6.45,129.12,jute
10,12,32,24.78,85.89,6.82,160.78,jute
12,18,29,26.55,89.78,7.18,123.34,jute
7,16,31,25.88,87.45,6.58,148.92,jute
9,20,27,27.25,91.34,6.95,136.56,jute
11,13,33,24.15,84.12,6.32,163.23,jute
6,19,28,26.98,88.23,6.68,127.89,jute
8,15,30,25.42,86.78,7.02,151.45,jute
10,17,26,27.72,90.12,6.48,133.12,jute
12,21,32,24.95,85.56,6.85,157.78,jute
7,14,29,26.28,89.34,7.25,119.34,jute
9,12,31,25.62,87.67,6.55,146.92,jute
11,18,27,27.95,91.78,6.92,138.56,jute
6,16,33,24.38,84.45,6.38,165.23,jute
8,20,28,26.72,88.45,6.72,125.89,jute
10,13,30,25.18,86.23,7.08,149.45,jute
12,19,26,27.48,90.67,6.42,130.12,jute
7,15,32,24.65,85.78,6.78,161.78,jute
9,17,29,26.38,89.56,7.15,122.34,jute
11,21,31,25.72,87.34,6.52,143.92,jute
6,14,27,27.85,91.23,6.88,139.56,jute
8,12,33,24.28,84.67,6.35,164.23,jute
10,18,28,26.65,88.78,6.75,129.89,jute
12,16,30,25.38,86.45,7.02,150.45,jute
7,20,26,27.18,90.34,6.45,131.12,jute
9,13,32,24.85,85.23,6.82,158.78,jute
11,19,29,26.52,89.12,7.18,120.34,jute
6,15,31,25.78,87.89,6.58,147.92,jute
8,17,27,27.32,91.56,6.95,137.56,jute
10,21,33,24.52,84.34,6.32,162.23,jute
12,14,28,26.88,88.12,6.68,126.89,jute
7,12,30,25.22,86.67,7.05,153.45,jute
9,18,26,27.55,90.45,6.48,134.12,jute
11,16,32,24.75,85.56,6.85,160.78,jute
6,20,29,26.28,89.78,7.22,118.34,jute
8,13,31,25.58,87.45,6.55,145.92,jute
10,19,27,27.82,91.67,6.92,140.56,jute
12,15,33,24.35,84.23,6.38,163.23,jute
7,17,28,26.75,88.89,6.72,128.89,jute
9,21,30,25.48,86.56,7.08,152.45,jute
11,14,26,27.28,90.23,6.45,132.12,jute
6,12,32,24.92,85.78,6.82,159.78,jute
8,18,29,26.45,89.45,7.18,121.34,jute
10,16,31,25.72,87.12,6.55,148.92,jute
12,20,27,27.68,91.34,6.92,136.56,jute
7,13,33,24.18,84.67,6.35,164.23,jute
9,19,28,26.92,88.23,6.72,125.89,jute
11,15,30,25.28,86.78,7.08,150.45,jute
6,17,26,27.42,90.56,6.45,133.12,jute
8,21,32,24.85,85.34,6.85,157.78,jute
10,14,29,26.38,89.67,7.25,120.34,jute
12,12,31,25.62,87.45,6.52,144.92,jute
20,125,30,28.65,86.35,6.82,156.23,cotton
25,130,28,27.89,84.12,7.15,148.67,cotton
18,120,32,29.34,88.56,6.48,162.45,cotton
22,128,26,28.12,85.78,6.93,155.12,cotton
15,135,29,27.45,87.23,7.38,142.89,cotton
21,122,31,29.78,89.12,6.65,164.34,cotton
24,132,27,28.45,83.67,7.08,151.56,cotton
17,126,33,27.12,86.89,6.72,169.23,cotton
19,118,28,29.56,88.34,7.25,145.67,cotton
23,134,30,28.78,85.12,6.54,158.89,cotton
16,124,26,27.65,87.56,6.98,171.34,cotton
20,130,32,29.12,89.78,7.32,139.45,cotton
25,121,29,28.34,84.45,6.45,153.12,cotton
18,136,27,27.89,86.12,6.85,166.78,cotton
22,127,31,29.67,88.89,7.18,147.23,cotton
15,133,33,28.23,83.34,6.58,174.56,cotton
21,119,28,27.56,87.67,7.42,141.89,cotton
24,129,30,29.45,85.56,6.75,160.34,cotton
17,125,26,28.89,89.23,7.08,137.67,cotton
19,131,32,27.23,84.78,6.42,167.45,cotton
23,123,29,29.78,86.34,6.92,150.12,cotton
16,137,27,28.56,88.12,7.35,144.78,cotton
20,120,31,27.34,83.89,6.62,163.23,cotton
25,128,33,29.12,87.45,7.15,138.56,cotton
18,134,28,28.67,85.23,6.48,172.89,cotton
22,126,30,27.45,89.56,6.88,146.34,cotton
15,132,26,29.89,84.67,7.28,154.67,cotton
21,118,32,28.23,86.78,6.55,168.12,cotton
24,136,29,27.78,88.45,7.02,141.45,cotton
17,124,27,29.34,83.12,6.78,176.78,cotton
19,130,31,28.45,87.34,7.38,143.23,cotton
23,121,33,27.12,85.89,6.52,161.56,cotton
16,129,28,29.56,89.67,6.95,137.89,cotton
20,135,30,28.89,84.34,7.22,157.23,cotton
25,127,26,27.67,86.56,6.65,170.56,cotton
18,133,32,29.23,88.78,7.42,140.89,cotton
22,119,29,28.12,83.45,6.38,165.34,cotton
15,131,27,27.89,87.12,6.82,148.67,cotton
21,125,31,29.67,85.67,7.15,144.12,cotton
24,137,33,28.34,89.34,6.58,175.45,cotton
17,123,28,27.56,84.12,7.02,152.78,cotton
19,129,30,29.45,86.89,6.78,139.12,cotton
23,120,26,28.78,88.23,7.35,162.56,cotton
16,134,32,27.23,83.78,6.48,173.89,cotton
20,126,29,29.12,87.56,6.92,146.23,cotton
25,132,27,28.45,85.34,7.25,155.67,cotton
18,128,31,27.78,89.12,6.62,168.12,cotton
22,122,33,29.34,84.89,7.08,140.45,cotton
15,136,28,28.12,86.45,6.45,177.78,cotton
21,124,30,27.45,88.67,6.88,143.12,cotton
24,130,26,29.78,83.23,7.38,159.56,cotton
17,121,32,28.56,87.78,6.55,166.89,cotton
19,133,29,27.12,85.56,6.98,149.23,cotton
23,127,27,29.45,89.45,7.22,142.67,cotton
16,135,31,28.89,84.12,6.72,174.12,cotton
20,119,33,27.67,86.34,7.15,137.45,cotton
25,131,28,29.23,88.78,6.42,160.78,cotton
18,125,30,28.34,83.56,6.85,172.23,cotton
22,137,26,27.89,87.23,7.32,145.67,cotton
15,123,32,29.56,85.89,6.58,176.12,cotton
21,129,29,28.23,89.34,7.02,141.45,cotton
24,120,27,27.56,84.67,6.78,163.78,cotton
17,134,31,29.78,86.12,7.42,138.12,cotton
19,126,33,28.12,88.45,6.35,170.56,cotton
23,132,28,27.45,83.78,6.92,152.89,cotton
16,128,30,29.34,87.56,7.25,147.23,cotton
20,122,26,28.67,85.23,6.62,175.67,cotton
25,136,32,27.23,89.67,7.08,139.12,cotton
18,124,29,29.12,84.34,6.48,167.45,cotton
22,130,27,28.45,86.89,6.85,154.78,cotton
15,119,31,27.78,88.12,7.32,180.23,cotton
21,133,33,29.67,83.45,6.55,136.56,cotton
24,127,28,28.12,87.78,6.98,161.89,cotton
17,135,30,27.45,85.56,7.22,148.23,cotton
19,121,26,29.89,89.23,6.72,164.67,cotton
23,129,32,28.34,84.78,7.38,141.12,cotton
16,125,29,27.12,86.34,6.42,173.45,cotton
20,131,27,29.56,88.89,6.88,145.78,cotton
25,123,31,28.78,83.12,7.15,169.23,cotton
18,137,33,27.34,87.45,6.58,177.56,cotton
22,120,28,29.23,85.78,7.02,140.89,cotton
15,128,30,28.56,89.56,6.78,153.23,cotton
21,134,26,27.89,84.23,7.35,165.67,cotton
24,126,32,29.12,86.67,6.45,138.12,cotton
17,132,29,28.23,88.34,6.92,172.45,cotton
19,122,27,27.56,83.89,7.28,150.78,cotton
23,138,31,29.78,85.12,6.65,143.12,cotton
16,124,33,28.45,87.56,7.42,176.45,cotton
20,130,28,27.12,89.78,6.38,147.78,cotton
25,119,30,29.34,84.45,6.82,162.23,cotton
18,133,26,28.78,86.12,7.15,175.56,cotton
22,127,32,27.45,88.67,6.52,139.89,cotton
15,135,29,29.67,83.34,7.08,170.23,cotton
21,121,27,28.12,87.89,6.75,144.67,cotton
24,129,31,27.78,85.45,7.38,157.12,cotton
17,125,33,29.45,89.12,6.48,178.45,cotton
19,131,28,28.34,84.78,6.92,146.78,cotton
23,123,30,27.12,86.45,7.22,161.12,cotton
20,10,10,39.45,16.23,6.82,25.34,lentil
22,12,8,38.78,14.56,7.15,32.67,lentil
18,14,12,40.12,18.89,6.48,18.45,lentil
24,8,10,39.23,15.34,6.95,28.78,lentil
26,16,14,38.56,17.67,7.38,35.12,lentil
20,10,8,40.45,13.23,6.62,22.45,lentil
22,18,12,39.12,19.56,7.22,38.78,lentil
18,12,10,38.34,16.78,6.35,15.12,lentil
24,14,14,40.78,14.12,6.88,30.45,lentil
26,8,8,39.67,18.45,7.42,24.78,lentil
20,16,12,38.45,15.89,6.52,28.12,lentil
22,10,10,40.23,17.23,7.08,34.45,lentil
18,18,14,39.56,13.56,6.45,40.78,lentil
24,12,8,38.89,19.78,6.78,20.12,lentil
26,14,12,40.34,14.45,7.32,26.45,lentil
20,8,10,39.45,16.12,6.55,32.78,lentil
22,16,14,38.12,18.34,7.18,36.12,lentil
18,10,8,40.67,13.78,6.38,14.45,lentil
24,18,12,39.78,19.12,6.92,30.78,lentil
26,12,10,38.23,15.45,7.45,22.12,lentil
20,14,14,40.56,17.89,6.68,28.45,lentil
22,8,8,39.34,14.23,7.08,34.78,lentil
18,16,12,38.67,18.56,6.42,18.12,lentil
24,10,10,40.12,16.34,6.82,38.45,lentil
26,18,14,39.89,13.67,7.35,24.78,lentil
20,12,8,38.45,19.89,6.52,26.12,lentil
22,14,12,40.23,15.12,7.15,32.45,lentil
18,8,10,39.56,17.45,6.28,40.78,lentil
24,16,14,38.78,14.78,6.88,20.12,lentil
26,10,8,40.45,18.12,7.42,16.45,lentil
20,18,12,39.12,16.56,6.62,28.78,lentil
22,12,10,38.34,13.89,7.22,34.12,lentil
18,14,14,40.67,19.23,6.45,36.45,lentil
24,8,8,39.78,15.67,6.78,22.78,lentil
26,16,12,38.56,17.12,7.32,26.12,lentil
20,10,10,40.12,14.45,6.55,30.45,lentil
22,18,14,39.34,18.78,7.08,38.78,lentil
18,12,8,38.89,16.23,6.38,14.12,lentil
24,14,12,40.45,13.56,6.92,32.45,lentil
26,8,10,39.67,19.89,7.45,24.78,lentil
20,16,14,38.23,15.34,6.68,28.12,lentil
22,10,8,40.56,17.67,7.15,34.45,lentil
18,18,12,39.12,14.12,6.42,40.78,lentil
24,12,10,38.78,18.45,6.82,18.12,lentil
26,14,14,40.34,16.78,7.38,22.45,lentil
20,8,8,39.56,13.23,6.52,26.78,lentil
22,16,12,38.45,19.56,7.08,36.12,lentil
18,10,10,40.78,15.89,6.35,16.45,lentil
24,18,14,39.23,17.23,6.88,30.78,lentil
26,12,8,38.12,14.56,7.42,20.12,lentil
20,14,12,40.45,18.89,6.62,28.45,lentil
22,8,10,39.78,16.12,7.22,34.78,lentil
18,16,14,38.56,13.45,6.45,38.12,lentil
24,10,8,40.23,19.78,6.78,14.45,lentil
26,18,12,39.12,15.34,7.32,24.78,lentil
20,12,10,38.89,17.67,6.55,32.12,lentil
22,14,14,40.56,14.12,7.08,36.45,lentil
18,8,8,39.34,18.45,6.38,42.78,lentil
24,16,12,38.67,16.78,6.92,20.12,lentil
26,10,10,40.12,13.23,7.45,26.45,lentil
20,18,14,39.78,19.56,6.68,28.78,lentil
22,12,8,38.23,15.89,7.15,34.12,lentil
18,14,12,40.45,17.23,6.42,40.45,lentil
24,8,10,39.56,14.56,6.82,16.78,lentil
26,16,14,38.78,18.89,7.38,22.12,lentil
20,10,8,40.23,16.34,6.52,30.45,lentil
22,18,12,39.12,13.67,7.08,38.78,lentil
18,12,10,38.45,19.12,6.35,14.12,lentil
24,14,14,40.67,15.45,6.88,32.45,lentil
26,8,8,39.89,17.78,7.42,24.78,lentil
20,16,12,38.12,14.23,6.62,28.12,lentil
22,10,10,40.34,18.56,7.22,34.45,lentil
18,18,14,39.56,16.89,6.45,40.78,lentil
24,12,8,38.78,13.34,6.78,18.12,lentil
26,14,12,40.12,19.67,7.32,22.45,lentil
20,8,10,39.23,15.12,6.55,26.78,lentil
22,16,14,38.56,17.45,7.08,36.12,lentil
18,10,8,40.45,14.78,6.38,16.45,lentil
24,18,12,39.78,18.12,6.92,30.78,lentil
26,12,10,38.34,16.56,7.45,20.12,lentil
20,14,14,40.23,13.89,6.68,28.45,lentil
22,8,8,39.12,19.23,7.15,34.78,lentil
18,16,12,38.89,15.56,6.42,42.12,lentil
24,10,10,40.56,17.89,6.82,14.45,lentil
26,18,14,39.34,14.34,7.38,24.78,lentil
20,12,8,38.67,18.67,6.52,28.12,lentil
22,14,12,40.12,16.12,7.08,36.45,lentil
18,8,10,39.56,13.45,6.35,40.78,lentil
24,16,14,38.45,19.78,6.88,18.12,lentil
26,10,8,40.34,15.12,7.42,22.45,lentil
20,18,12,39.78,17.45,6.62,26.78,lentil
22,12,10,38.12,14.78,7.22,32.12,lentil
18,14,14,40.56,18.12,6.45,38.45,lentil
24,8,8,39.23,16.56,6.78,16.78,lentil
26,16,12,38.78,13.89,7.32,24.12,lentil
0,35,15,25.12,64.23,6.82,68.34,blackgram
5,32,12,24.89,62.56,7.18,75.67,blackgram
2,38,18,26.34,66.78,6.45,58.12,blackgram
8,30,14,25.56,63.45,6.98,72.45,blackgram
0,36,16,24.23,65.12,7.35,82.78,blackgram
4,34,10,26.78,61.89,6.62,64.12,blackgram
6,40,20,25.45,67.34,7.42,55.45,blackgram
2,28,12,24.67,63.78,6.38,78.78,blackgram
8,36,16,26.12,66.23,6.85,62.12,blackgram
0,32,14,25.78,64.56,7.22,85.45,blackgram
4,38,18,24.34,62.12,6.52,70.78,blackgram
6,30,10,26.56,67.89,7.08,56.12,blackgram
2,36,20,25.12,63.34,6.72,76.45,blackgram
8,34,12,24.89,65.45,7.38,60.78,blackgram
0,40,16,26.23,61.56,6.45,84.12,blackgram
4,28,14,25.67,66.78,6.92,66.45,blackgram
6,36,18,24.45,63.89,7.28,52.78,blackgram
2,32,10,26.89,62.34,6.38,80.12,blackgram
8,38,20,25.23,67.12,6.78,58.45,blackgram
0,30,12,24.56,64.67,7.42,88.78,blackgram
4,34,16,26.34,61.23,6.55,68.12,blackgram
6,40,14,25.89,66.56,7.12,54.45,blackgram
